Exercise Name,Body Part
Bench Press,Chest
Incline Bench Press,Chest
Dumbbell Flyes,Chest
Push Ups,Chest
Squats,Legs
Leg Press,Legs
Lunges,Legs
Leg Curls,Legs
Leg Extensions,Legs
Calf Raises,Legs
Deadlifts,Back
Pull Ups,Back
Bent Over Rows,Back
Lat Pulldowns,Back
T-Bar Rows,Back
Overhead Press,Shoulders
Lateral Raises,Shoulders
Front Raises,Shoulders
Rear Delt Flyes,Shoulders
Barbell Curls,Arms
Dumbbell Curls,Arms
Hammer Curls,Arms
Tricep Dips,Arms
Tricep Pushdowns,Arms
Close Grip Bench Press,Arms
Planks,Core
Crunches,Core
Russian Twists,Core
Hanging Leg Raises,Core
